symboling,normalized-losses,fuel-type,aspiration,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,make audi,make bmw,make chevrolet,make dodge,make honda,make isuzu,make jaguar,make mazda,make mercedes-benz,make mercury,make mitsubishi,make nissan,make peugot,make plymouth,make porsche,make renault,make saab,make subaru,make toyota,make volkswagen,make volvo,Body-Style hardtop,Body-Style hatchback,Body-Style sedan,Body-Style wagon,drive-wheels fwd,drive-wheels rwd,engine-type l,engine-type ohc,engine-type ohcf,engine-type ohcv,engine-type rotor,fuel-system 2bbl,fuel-system 4bbl,fuel-system idi,fuel-system mfi,fuel-system mpfi,fuel-system spdi,fuel-system spfi,horsepower_curbWeight
3,115.0,0,0,0,0,88.6,168.8,64.1,48.8,2548,4,130,3.47,2.68,9.0,111,5000,21,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04356357927786499
3,115.0,0,0,0,0,88.6,168.8,64.1,48.8,2548,4,130,3.47,2.68,9.0,111,5000,21,27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04356357927786499
1,115.0,0,0,0,0,94.5,171.2,65.5,52.4,2823,6,152,2.68,3.47,9.0,154,5000,19,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.05455189514700673
2,164.0,0,0,1,0,99.8,176.6,66.2,54.3,2337,4,109,3.19,3.4,10.0,102,5500,24,30,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.043645699614890884
2,164.0,0,0,1,0,99.4,176.6,66.4,54.3,2824,5,136,3.19,3.4,8.0,115,5500,18,22,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.04072237960339943
2,115.0,0,0,0,0,99.8,177.3,66.3,53.1,2507,5,136,3.19,3.4,8.5,110,5500,19,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.043877143996808934
1,158.0,0,0,1,0,105.8,192.7,71.4,55.7,2844,5,136,3.19,3.4,8.5,110,5500,19,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.03867791842475387
1,115.0,0,0,1,0,105.8,192.7,71.4,55.7,2954,5,136,3.19,3.4,8.5,110,5500,19,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.037237643872714964
1,158.0,0,1,1,0,105.8,192.7,71.4,55.9,3086,5,131,3.13,3.4,8.3,140,5500,17,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.04536616979909268
2,192.0,0,0,0,0,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,101,5800,23,29,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.042171189979123176
0,192.0,0,0,1,0,101.2,176.8,64.8,54.3,2395,4,108,3.5,2.8,8.8,101,5800,23,29,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.042171189979123176
0,188.0,0,0,0,0,101.2,176.8,64.8,54.3,2710,6,164,3.31,3.19,9.0,121,4250,21,28,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.044649446494464944
0,188.0,0,0,1,0,101.2,176.8,64.8,54.3,2765,6,164,3.31,3.19,9.0,121,4250,21,28,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.04376130198915009
1,115.0,0,0,1,0,103.5,189.0,66.9,55.7,3055,6,164,3.31,3.19,9.0,121,4250,20,25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.03960720130932897
0,115.0,0,0,1,0,103.5,189.0,66.9,55.7,3230,6,209,3.62,3.39,8.0,182,5400,16,22,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.056346749226006194
0,115.0,0,0,0,0,103.5,193.8,67.9,53.7,3380,6,209,3.62,3.39,8.0,182,5400,16,22,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.05384615384615385
0,115.0,0,0,1,0,110.0,197.0,70.9,56.3,3505,6,209,3.62,3.39,8.0,182,5400,15,20,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.051925820256776035
2,121.0,0,0,0,0,88.4,141.1,60.3,53.2,1488,3,61,2.91,3.03,9.5,48,5100,47,53,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,0.03225806451612903
1,98.0,0,0,0,0,94.5,155.9,63.6,52.0,1874,4,90,3.03,3.11,9.6,70,5400,38,43,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03735325506937033
0,81.0,0,0,1,0,94.5,158.8,63.6,52.0,1909,4,90,3.03,3.11,9.6,70,5400,38,43,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03666841278156103
1,118.0,0,0,0,0,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.41,68,5500,37,41,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03624733475479744
1,118.0,0,0,0,0,93.7,157.3,63.8,50.8,1876,4,90,2.97,3.23,9.4,68,5500,31,38,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03624733475479744
1,118.0,0,1,0,0,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,102,5500,24,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.047932330827067667
1,148.0,0,0,1,0,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,68,5500,31,38,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03457041179461108
1,148.0,0,0,1,0,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68,5500,31,38,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03418803418803419
1,148.0,0,0,1,0,93.7,157.3,63.8,50.6,1989,4,90,2.97,3.23,9.4,68,5500,31,38,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03418803418803419
1,148.0,0,1,1,0,93.7,157.3,63.8,50.6,2191,4,98,3.03,3.39,7.6,102,5500,24,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.04655408489274304
-1,110.0,0,0,1,0,103.3,174.6,64.6,59.8,2535,4,122,3.34,3.46,8.5,88,5000,24,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03471400394477318
3,145.0,0,1,0,0,95.9,173.2,66.3,50.2,2811,4,156,3.6,3.9,7.0,145,5000,19,24,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,0.05158306652436855
2,137.0,0,0,0,0,86.6,144.6,63.9,50.8,1713,4,92,2.91,3.41,9.6,58,4800,49,54,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.033858727378867484
2,137.0,0,0,0,0,86.6,144.6,63.9,50.8,1819,4,92,2.91,3.41,9.2,76,6000,31,38,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.04178119846069269
1,101.0,0,0,0,0,93.7,150.0,64.0,52.6,1837,4,79,2.91,3.07,10.1,60,5500,38,42,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.0326619488296135
1,101.0,0,0,0,0,93.7,150.0,64.0,52.6,1940,4,92,2.91,3.41,9.2,76,6000,30,34,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.03917525773195876
1,101.0,0,0,0,0,93.7,150.0,64.0,52.6,1956,4,92,2.91,3.41,9.2,76,6000,30,34,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.03885480572597137
0,110.0,0,0,1,0,96.5,163.4,64.0,54.5,2010,4,92,2.91,3.41,9.2,76,6000,30,34,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.03781094527363184
0,78.0,0,0,1,0,96.5,157.1,63.9,58.3,2024,4,92,2.92,3.41,9.2,76,6000,30,34,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.037549407114624504
0,106.0,0,0,0,0,96.5,167.5,65.2,53.3,2236,4,110,3.15,3.58,9.0,86,5800,27,33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.038461538461538464
0,106.0,0,0,0,0,96.5,167.5,65.2,53.3,2289,4,110,3.15,3.58,9.0,86,5800,27,33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.037570991699432066
0,85.0,0,0,1,0,96.5,175.4,65.2,54.1,2304,4,110,3.15,3.58,9.0,86,5800,27,33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.03732638888888889
0,85.0,0,0,1,0,96.5,175.4,62.5,54.1,2372,4,110,3.15,3.58,9.0,86,5800,27,33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,0.03625632377740304
0,85.0,0,0,1,0,96.5,175.4,65.2,54.1,2465,4,110,3.15,3.58,9.0,101,5800,24,28,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,0.040973630831643
1,107.0,0,0,0,0,96.5,169.1,66.0,51.0,2293,4,110,3.15,3.58,9.1,100,5500,25,31,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.043610989969472304
0,115.0,0,0,1,0,94.3,170.7,61.8,53.5,2337,4,111,3.31,3.23,8.5,78,4800,24,29,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,0.03337612323491656
2,115.0,0,0,0,0,96.0,172.6,65.2,51.4,2734,4,119,3.43,3.23,9.2,90,5000,24,29,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.03291880029261156
0,145.0,0,0,1,0,113.0,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04328578455484506
0,115.0,0,0,1,0,113.0,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.04328578455484506
0,115.0,0,0,0,0,102.0,191.7,70.6,47.8,3950,12,326,3.54,2.76,11.5,262,5000,13,17,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,0.06632911392405064
1,104.0,0,0,0,0,93.1,159.1,64.2,54.1,1890,4,91,3.03,3.15,9.0,68,5000,30,31,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03597883597883598
1,104.0,0,0,0,0,93.1,159.1,64.2,54.1,1900,4,91,3.03,3.15,9.0,68,5000,31,38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.035789473684210524
1,104.0,0,0,0,0,93.1,159.1,64.2,54.1,1905,4,91,3.03,3.15,9.0,68,5000,31,38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03569553805774278
1,113.0,0,0,1,0,93.1,166.8,64.2,54.1,1945,4,91,3.03,3.15,9.0,68,5000,31,38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03496143958868895
1,113.0,0,0,1,0,93.1,166.8,64.2,54.1,1950,4,91,3.08,3.15,9.0,68,5000,31,38,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03487179487179487
3,150.0,0,0,0,0,95.3,169.0,65.7,49.6,2380,2,70,3.31,3.29,9.4,101,6000,17,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0.04243697478991597
3,150.0,0,0,0,0,95.3,169.0,65.7,49.6,2380,2,70,3.31,3.29,9.4,101,6000,17,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0.04243697478991597
3,150.0,0,0,0,0,95.3,169.0,65.7,49.6,2385,2,70,3.31,3.29,9.4,101,6000,17,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,0.042348008385744235
3,150.0,0,0,0,0,95.3,169.0,65.7,49.6,2500,2,80,3.31,3.29,9.4,135,6000,16,23,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,0.054
1,129.0,0,0,0,0,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03522012578616352
0,115.0,0,0,1,0,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.034854771784232366
1,129.0,0,0,0,0,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03522012578616352
0,115.0,0,0,1,0,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.034854771784232366
0,115.0,1,0,1,0,98.8,177.8,66.5,55.5,2443,4,122,3.39,3.39,22.7,64,4650,36,42,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,0.026197298403602128
0,115.0,0,0,1,0,98.8,177.8,66.5,55.5,2425,4,122,3.39,3.39,8.6,84,4800,26,32,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,0.03463917525773196
0,118.0,0,0,1,0,104.9,175.0,66.1,54.4,2670,4,140,3.76,3.16,8.0,120,5000,19,27,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,0.0449438202247191
0,115.0,1,0,1,0,104.9,175.0,66.1,54.4,2700,4,134,3.43,3.64,22.0,72,4200,31,39,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0.02666666666666667
-1,93.0,1,1,1,0,110.0,190.9,70.3,56.5,3515,5,183,3.58,3.64,21.5,123,4350,22,25,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,0.03499288762446657
